krog,varianta,faza,vzorec,komponenta,cpu_raw,mem_raw
1,A-izhodisce,obremenitev,1,node-exporter,0.00,8.492MiB
1,A-izhodisce,obremenitev,1,cadvisor,4.41,43.45MiB
1,A-izhodisce,obremenitev,1,grafana,0.14,53.38MiB
1,A-izhodisce,obremenitev,1,elasticsearch,9.19,1.952GiB
1,A-izhodisce,obremenitev,1,kibana,13.19,643.2MiB
1,A-izhodisce,obremenitev,1,logstash,31.85,790MiB
1,A-izhodisce,obremenitev,1,alertmanager,0.53,19.6MiB
1,A-izhodisce,obremenitev,2,prometheus,0.00,48.62MiB
1,A-izhodisce,obremenitev,2,node-exporter,0.00,8.547MiB
1,A-izhodisce,obremenitev,2,cadvisor,2.88,43.46MiB
1,A-izhodisce,obremenitev,2,grafana,0.20,53.38MiB
1,A-izhodisce,obremenitev,2,elasticsearch,24.45,1.952GiB
1,A-izhodisce,obremenitev,2,kibana,20.29,646MiB
1,A-izhodisce,obremenitev,2,logstash,23.37,791.2MiB
1,A-izhodisce,obremenitev,2,alertmanager,1.59,19.6MiB
1,A-izhodisce,obremenitev,3,prometheus,0.33,48.62MiB
1,A-izhodisce,obremenitev,3,node-exporter,0.00,8.547MiB
1,A-izhodisce,obremenitev,3,cadvisor,3.86,43.46MiB
1,A-izhodisce,obremenitev,3,grafana,0.54,53.38MiB
1,A-izhodisce,obremenitev,3,elasticsearch,15.90,1.951GiB
1,A-izhodisce,obremenitev,3,kibana,14.62,646MiB
1,A-izhodisce,obremenitev,3,logstash,37.20,792.2MiB
1,A-izhodisce,obremenitev,3,alertmanager,0.39,19.6MiB
1,A-izhodisce,obremenitev,4,prometheus,1.60,48.62MiB
1,A-izhodisce,obremenitev,4,node-exporter,0.00,8.547MiB
1,A-izhodisce,obremenitev,4,cadvisor,10.37,43.48MiB
1,A-izhodisce,obremenitev,4,grafana,0.79,53.38MiB
1,A-izhodisce,obremenitev,4,elasticsearch,10.17,1.951GiB
1,A-izhodisce,obremenitev,4,kibana,15.22,648.9MiB
1,A-izhodisce,obremenitev,4,logstash,45.37,803.6MiB
1,A-izhodisce,obremenitev,4,alertmanager,0.62,19.6MiB
1,A-izhodisce,obremenitev,5,prometheus,0.07,48.64MiB
1,A-izhodisce,obremenitev,5,node-exporter,0.00,8.578MiB
1,A-izhodisce,obremenitev,5,cadvisor,4.52,43.48MiB
1,A-izhodisce,obremenitev,5,grafana,0.06,53.38MiB
1,A-izhodisce,obremenitev,5,elasticsearch,11.74,1.952GiB
1,A-izhodisce,obremenitev,5,kibana,13.22,649MiB
1,A-izhodisce,obremenitev,5,logstash,32.41,803.9MiB
1,A-izhodisce,obremenitev,5,alertmanager,0.46,19.6MiB
1,A-izhodisce,obremenitev,6,prometheus,0.00,48.64MiB
1,A-izhodisce,obremenitev,6,node-exporter,0.00,8.578MiB
1,A-izhodisce,obremenitev,6,cadvisor,3.18,43.48MiB
1,A-izhodisce,obremenitev,6,grafana,0.10,53.38MiB
1,A-izhodisce,obremenitev,6,elasticsearch,10.06,1.952GiB
1,A-izhodisce,obremenitev,6,kibana,13.86,649.1MiB
1,A-izhodisce,obremenitev,6,logstash,41.34,804MiB
1,A-izhodisce,obremenitev,6,alertmanager,0.31,19.6MiB
