krog,varianta,vzorec,komponenta,cpu_raw
1,E-paketno,7,alertmanager,0.65
1,E-paketno,8,prometheus,0.85
1,E-paketno,8,node-exporter,0.00
1,E-paketno,8,cadvisor,3.74
1,E-paketno,8,grafana,1.42
1,E-paketno,8,elasticsearch,7.10
1,E-paketno,8,kibana,20.15
1,E-paketno,8,logstash,29.95
1,E-paketno,8,alertmanager,0.43
1,E-paketno,9,prometheus,0.00
1,E-paketno,9,node-exporter,0.00
1,E-paketno,9,cadvisor,6.85
1,E-paketno,9,grafana,0.59
1,E-paketno,9,elasticsearch,9.46
1,E-paketno,9,kibana,19.48
1,E-paketno,9,logstash,20.38
1,E-paketno,9,alertmanager,0.39
1,E-paketno,10,prometheus,0.08
1,E-paketno,10,node-exporter,0.00
1,E-paketno,10,cadvisor,11.90
1,E-paketno,10,grafana,1.00
1,E-paketno,10,elasticsearch,74.62
1,E-paketno,10,kibana,25.37
1,E-paketno,10,logstash,135.28
1,E-paketno,10,alertmanager,1.18
2,A-izhodisce,1,prometheus,8.40
2,A-izhodisce,1,node-exporter,0.00
2,A-izhodisce,1,cadvisor,18.79
2,A-izhodisce,1,grafana,0.07
2,A-izhodisce,1,elasticsearch,13.89
2,A-izhodisce,1,kibana,26.37
2,A-izhodisce,1,logstash,167.24
2,A-izhodisce,1,alertmanager,0.42
2,A-izhodisce,2,prometheus,0.00
2,A-izhodisce,2,node-exporter,0.00
2,A-izhodisce,2,cadvisor,4.61
2,A-izhodisce,2,grafana,1.09
2,A-izhodisce,2,elasticsearch,11.60
2,A-izhodisce,2,kibana,17.16
2,A-izhodisce,2,logstash,151.96
2,A-izhodisce,2,alertmanager,0.31
2,A-izhodisce,3,prometheus,0.00
2,A-izhodisce,3,node-exporter,0.00
2,A-izhodisce,3,cadvisor,8.97
2,A-izhodisce,3,grafana,0.33
2,A-izhodisce,3,elasticsearch,23.73
2,A-izhodisce,3,kibana,17.73
2,A-izhodisce,3,logstash,220.67
2,A-izhodisce,3,alertmanager,0.56
2,A-izhodisce,4,prometheus,0.27
2,A-izhodisce,4,node-exporter,0.00
2,A-izhodisce,4,cadvisor,8.14
2,A-izhodisce,4,grafana,1.95
2,A-izhodisce,4,elasticsearch,19.38
2,A-izhodisce,4,kibana,22.21
2,A-izhodisce,4,logstash,134.18
2,A-izhodisce,4,alertmanager,12.59
2,A-izhodisce,5,prometheus,3.88
2,A-izhodisce,5,node-exporter,0.00
2,A-izhodisce,5,cadvisor,19.56
2,A-izhodisce,5,grafana,2.01
2,A-izhodisce,5,elasticsearch,119.51
2,A-izhodisce,5,kibana,29.84
2,A-izhodisce,5,logstash,120.14
2,A-izhodisce,5,alertmanager,3.31
2,A-izhodisce,6,prometheus,1.02
2,A-izhodisce,6,node-exporter,1.69
2,A-izhodisce,6,cadvisor,20.73
2,A-izhodisce,6,grafana,6.52
2,A-izhodisce,6,elasticsearch,50.49
2,A-izhodisce,6,kibana,27.39
2,A-izhodisce,6,logstash,136.05
2,A-izhodisce,6,alertmanager,10.67
2,A-izhodisce,7,prometheus,0.59
2,A-izhodisce,7,node-exporter,0.00
2,A-izhodisce,7,cadvisor,19.78
2,A-izhodisce,7,grafana,1.79
2,A-izhodisce,7,elasticsearch,33.09
2,A-izhodisce,7,kibana,35.85
2,A-izhodisce,7,logstash,162.42
2,A-izhodisce,7,alertmanager,3.80
2,A-izhodisce,8,prometheus,5.25
2,A-izhodisce,8,node-exporter,17.18
2,A-izhodisce,8,cadvisor,20.10
2,A-izhodisce,8,grafana,16.77
2,A-izhodisce,8,elasticsearch,32.66
2,A-izhodisce,8,kibana,30.52
2,A-izhodisce,8,logstash,153.11
2,A-izhodisce,8,alertmanager,0.72
2,A-izhodisce,9,prometheus,0.00
2,A-izhodisce,9,node-exporter,0.00
2,A-izhodisce,9,cadvisor,10.29
2,A-izhodisce,9,grafana,0.40
2,A-izhodisce,9,elasticsearch,28.32
2,A-izhodisce,9,kibana,22.77
2,A-izhodisce,9,logstash,101.13
2,A-izhodisce,9,alertmanager,0.70
2,A-izhodisce,10,prometheus,28.47
2,A-izhodisce,10,node-exporter,28.60
2,A-izhodisce,10,cadvisor,32.00
2,A-izhodisce,10,grafana,1.80
2,A-izhodisce,10,elasticsearch,41.49
2,A-izhodisce,10,kibana,43.67
2,A-izhodisce,10,logstash,100.11
2,A-izhodisce,10,alertmanager,3.27
2,E-paketno,1,prometheus,0.14
2,E-paketno,1,node-exporter,0.00
2,E-paketno,1,cadvisor,7.33
2,E-paketno,1,grafana,0.07
2,E-paketno,1,elasticsearch,4.06
2,E-paketno,1,kibana,13.91
2,E-paketno,1,logstash,38.93
2,E-paketno,1,alertmanager,0.74
2,E-paketno,2,prometheus,0.20
2,E-paketno,2,node-exporter,0.00
2,E-paketno,2,cadvisor,3.78
2,E-paketno,2,grafana,0.19
2,E-paketno,2,elasticsearch,13.53
2,E-paketno,2,kibana,19.52
2,E-paketno,2,logstash,157.31
2,E-paketno,2,alertmanager,0.37
2,E-paketno,3,prometheus,8.54
2,E-paketno,3,node-exporter,0.00
2,E-paketno,3,cadvisor,27.16
2,E-paketno,3,grafana,0.74
2,E-paketno,3,elasticsearch,56.59
2,E-paketno,3,kibana,17.29
2,E-paketno,3,logstash,311.90
2,E-paketno,3,alertmanager,2.39
2,E-paketno,4,prometheus,0.00
2,E-paketno,4,node-exporter,0.00
2,E-paketno,4,cadvisor,6.49
2,E-paketno,4,grafana,0.47
2,E-paketno,4,elasticsearch,5.73
2,E-paketno,4,kibana,20.78
2,E-paketno,4,logstash,44.03
2,E-paketno,4,alertmanager,1.45
2,E-paketno,5,prometheus,0.00
2,E-paketno,5,node-exporter,0.00
2,E-paketno,5,cadvisor,6.34
2,E-paketno,5,grafana,0.14
2,E-paketno,5,elasticsearch,1.58
2,E-paketno,5,kibana,17.10
2,E-paketno,5,logstash,37.86
2,E-paketno,5,alertmanager,1.08
2,E-paketno,6,prometheus,2.14
2,E-paketno,6,node-exporter,12.44
2,E-paketno,6,cadvisor,6.91
2,E-paketno,6,grafana,1.54
2,E-paketno,6,elasticsearch,2.32
2,E-paketno,6,kibana,18.30
2,E-paketno,6,logstash,38.46
2,E-paketno,6,alertmanager,0.21
2,E-paketno,7,prometheus,0.00
2,E-paketno,7,node-exporter,0.00
2,E-paketno,7,cadvisor,5.48
2,E-paketno,7,grafana,0.16
2,E-paketno,7,elasticsearch,4.51
2,E-paketno,7,kibana,18.36
2,E-paketno,7,logstash,34.07
2,E-paketno,7,alertmanager,0.21
2,E-paketno,8,prometheus,0.00
2,E-paketno,8,node-exporter,0.00
2,E-paketno,8,cadvisor,6.35
2,E-paketno,8,grafana,0.19
2,E-paketno,8,elasticsearch,18.63
2,E-paketno,8,kibana,18.47
2,E-paketno,8,logstash,117.67
2,E-paketno,8,alertmanager,0.39
2,E-paketno,9,prometheus,0.00
2,E-paketno,9,node-exporter,0.00
2,E-paketno,9,cadvisor,5.23
2,E-paketno,9,grafana,0.05
2,E-paketno,9,elasticsearch,4.63
2,E-paketno,9,kibana,27.22
2,E-paketno,9,logstash,39.52
2,E-paketno,9,alertmanager,1.13
2,E-paketno,10,prometheus,0.46
2,E-paketno,10,node-exporter,0.00
2,E-paketno,10,cadvisor,7.07
2,E-paketno,10,grafana,0.18
2,E-paketno,10,elasticsearch,3.00
2,E-paketno,10,kibana,17.68
2,E-paketno,10,logstash,40.42
2,E-paketno,10,alertmanager,0.43
