krog,nacin,vzorec,komponenta,cpu_raw
2,strukturirano,9,prometheus,0.80
2,strukturirano,9,node-exporter,9.12
2,strukturirano,9,cadvisor,6.52
2,strukturirano,9,grafana,0.63
2,strukturirano,9,elasticsearch,4.50
2,strukturirano,9,kibana,16.36
2,strukturirano,9,logstash,18.51
2,strukturirano,9,alertmanager,0.44
2,strukturirano,10,prometheus,0.00
2,strukturirano,10,node-exporter,0.00
2,strukturirano,10,cadvisor,5.98
2,strukturirano,10,grafana,0.24
2,strukturirano,10,elasticsearch,2.44
2,strukturirano,10,kibana,16.85
2,strukturirano,10,logstash,17.73
2,strukturirano,10,alertmanager,1.53
3,strukturirano,1,prometheus,0.00
3,strukturirano,1,node-exporter,0.00
3,strukturirano,1,cadvisor,4.70
3,strukturirano,1,grafana,0.19
3,strukturirano,1,elasticsearch,4.55
3,strukturirano,1,kibana,11.62
3,strukturirano,1,logstash,22.03
3,strukturirano,1,alertmanager,0.47
3,strukturirano,2,prometheus,0.00
3,strukturirano,2,node-exporter,0.00
3,strukturirano,2,cadvisor,6.50
3,strukturirano,2,grafana,0.66
3,strukturirano,2,elasticsearch,3.52
3,strukturirano,2,kibana,13.54
3,strukturirano,2,logstash,24.94
3,strukturirano,2,alertmanager,1.64
3,strukturirano,3,prometheus,1.07
3,strukturirano,3,node-exporter,0.00
3,strukturirano,3,cadvisor,3.87
3,strukturirano,3,grafana,0.25
3,strukturirano,3,elasticsearch,3.22
3,strukturirano,3,kibana,13.30
3,strukturirano,3,logstash,38.67
3,strukturirano,3,alertmanager,0.37
3,strukturirano,4,prometheus,2.37
3,strukturirano,4,node-exporter,0.00
3,strukturirano,4,cadvisor,19.91
3,strukturirano,4,grafana,0.19
3,strukturirano,4,elasticsearch,7.78
3,strukturirano,4,kibana,15.03
3,strukturirano,4,logstash,23.69
3,strukturirano,4,alertmanager,0.61
3,strukturirano,5,prometheus,0.00
3,strukturirano,5,node-exporter,0.00
3,strukturirano,5,cadvisor,3.93
3,strukturirano,5,grafana,0.10
3,strukturirano,5,elasticsearch,8.12
3,strukturirano,5,kibana,13.14
3,strukturirano,5,logstash,8.88
3,strukturirano,5,alertmanager,1.01
3,strukturirano,6,prometheus,1.16
3,strukturirano,6,node-exporter,0.00
3,strukturirano,6,cadvisor,5.80
3,strukturirano,6,grafana,9.38
3,strukturirano,6,elasticsearch,18.40
3,strukturirano,6,kibana,12.92
3,strukturirano,6,logstash,12.05
3,strukturirano,6,alertmanager,1.30
3,strukturirano,7,prometheus,0.00
3,strukturirano,7,node-exporter,0.00
3,strukturirano,7,cadvisor,8.83
3,strukturirano,7,grafana,0.09
3,strukturirano,7,elasticsearch,3.16
3,strukturirano,7,kibana,10.18
3,strukturirano,7,logstash,16.11
3,strukturirano,7,alertmanager,0.72
3,strukturirano,8,prometheus,1.59
3,strukturirano,8,node-exporter,0.00
3,strukturirano,8,cadvisor,9.91
3,strukturirano,8,grafana,0.11
3,strukturirano,8,elasticsearch,6.21
3,strukturirano,8,kibana,18.13
3,strukturirano,8,logstash,17.90
3,strukturirano,8,alertmanager,0.79
3,strukturirano,9,prometheus,1.83
3,strukturirano,9,node-exporter,0.00
3,strukturirano,9,cadvisor,19.82
3,strukturirano,9,grafana,0.46
3,strukturirano,9,elasticsearch,6.17
3,strukturirano,9,kibana,14.30
3,strukturirano,9,logstash,147.60
3,strukturirano,9,alertmanager,0.63
3,strukturirano,10,prometheus,0.00
3,strukturirano,10,node-exporter,0.00
3,strukturirano,10,cadvisor,7.89
3,strukturirano,10,grafana,0.33
3,strukturirano,10,elasticsearch,2.39
3,strukturirano,10,kibana,12.59
3,strukturirano,10,logstash,22.22
3,strukturirano,10,alertmanager,0.56
4,strukturirano,1,prometheus,1.68
4,strukturirano,1,node-exporter,5.92
4,strukturirano,1,cadvisor,3.14
4,strukturirano,1,grafana,0.17
4,strukturirano,1,elasticsearch,2.23
4,strukturirano,1,kibana,9.31
4,strukturirano,1,logstash,6.06
4,strukturirano,1,alertmanager,0.39
4,strukturirano,2,prometheus,0.00
4,strukturirano,2,node-exporter,0.00
4,strukturirano,2,cadvisor,5.85
4,strukturirano,2,grafana,0.25
4,strukturirano,2,elasticsearch,4.13
4,strukturirano,2,kibana,8.43
4,strukturirano,2,logstash,5.27
4,strukturirano,2,alertmanager,0.26
4,strukturirano,3,prometheus,0.00
4,strukturirano,3,node-exporter,0.00
4,strukturirano,3,cadvisor,2.35
4,strukturirano,3,grafana,0.30
4,strukturirano,3,elasticsearch,3.38
4,strukturirano,3,kibana,27.11
4,strukturirano,3,logstash,17.11
4,strukturirano,3,alertmanager,0.21
4,strukturirano,4,prometheus,0.83
4,strukturirano,4,node-exporter,2.96
4,strukturirano,4,cadvisor,2.39
4,strukturirano,4,grafana,0.25
4,strukturirano,4,elasticsearch,1.77
4,strukturirano,4,kibana,6.91
4,strukturirano,4,logstash,10.58
4,strukturirano,4,alertmanager,0.26
4,strukturirano,5,prometheus,0.00
4,strukturirano,5,node-exporter,0.00
4,strukturirano,5,cadvisor,2.04
4,strukturirano,5,grafana,0.27
4,strukturirano,5,elasticsearch,1.69
4,strukturirano,5,kibana,8.75
4,strukturirano,5,logstash,6.34
4,strukturirano,5,alertmanager,0.34
4,strukturirano,6,prometheus,0.00
4,strukturirano,6,node-exporter,0.00
4,strukturirano,6,cadvisor,1.87
4,strukturirano,6,grafana,0.07
4,strukturirano,6,elasticsearch,2.42
4,strukturirano,6,kibana,8.59
4,strukturirano,6,logstash,4.91
4,strukturirano,6,alertmanager,0.35
4,strukturirano,7,prometheus,0.26
4,strukturirano,7,node-exporter,0.00
4,strukturirano,7,cadvisor,3.08
4,strukturirano,7,grafana,0.16
4,strukturirano,7,elasticsearch,1.57
4,strukturirano,7,kibana,7.09
4,strukturirano,7,logstash,10.31
4,strukturirano,7,alertmanager,0.16
4,strukturirano,8,prometheus,0.00
4,strukturirano,8,node-exporter,0.00
4,strukturirano,8,cadvisor,1.74
4,strukturirano,8,grafana,0.08
4,strukturirano,8,elasticsearch,1.30
4,strukturirano,8,kibana,6.80
4,strukturirano,8,logstash,10.32
4,strukturirano,8,alertmanager,0.30
4,strukturirano,9,prometheus,0.00
4,strukturirano,9,node-exporter,0.00
4,strukturirano,9,cadvisor,2.39
4,strukturirano,9,grafana,0.13
4,strukturirano,9,elasticsearch,3.52
4,strukturirano,9,kibana,9.16
4,strukturirano,9,logstash,10.54
4,strukturirano,9,alertmanager,0.30
4,strukturirano,10,prometheus,0.78
4,strukturirano,10,node-exporter,0.00
4,strukturirano,10,cadvisor,3.33
4,strukturirano,10,grafana,0.07
4,strukturirano,10,elasticsearch,6.89
4,strukturirano,10,kibana,8.14
4,strukturirano,10,logstash,9.52
4,strukturirano,10,alertmanager,0.76
1,nestrukturirano,1,prometheus,0.04
1,nestrukturirano,1,node-exporter,0.00
1,nestrukturirano,1,cadvisor,3.83
1,nestrukturirano,1,grafana,0.17
1,nestrukturirano,1,elasticsearch,2.14
1,nestrukturirano,1,kibana,9.29
1,nestrukturirano,1,logstash,5.18
1,nestrukturirano,1,alertmanager,0.52
1,nestrukturirano,2,prometheus,0.00
1,nestrukturirano,2,node-exporter,0.00
1,nestrukturirano,2,cadvisor,5.02
1,nestrukturirano,2,grafana,3.33
1,nestrukturirano,2,elasticsearch,2.93
1,nestrukturirano,2,kibana,12.62
1,nestrukturirano,2,logstash,8.87
1,nestrukturirano,2,alertmanager,0.54
1,nestrukturirano,3,prometheus,0.00
1,nestrukturirano,3,node-exporter,0.00
1,nestrukturirano,3,cadvisor,3.43
1,nestrukturirano,3,grafana,0.33
1,nestrukturirano,3,elasticsearch,3.55
1,nestrukturirano,3,kibana,10.56
1,nestrukturirano,3,logstash,6.59
1,nestrukturirano,3,alertmanager,0.27
1,nestrukturirano,4,prometheus,0.11
1,nestrukturirano,4,node-exporter,0.00
1,nestrukturirano,4,cadvisor,3.02
1,nestrukturirano,4,grafana,0.07
1,nestrukturirano,4,elasticsearch,1.71
1,nestrukturirano,4,kibana,6.47
1,nestrukturirano,4,logstash,15.05
1,nestrukturirano,4,alertmanager,0.82
1,nestrukturirano,5,prometheus,0.24
1,nestrukturirano,5,node-exporter,0.00
1,nestrukturirano,5,cadvisor,3.13
1,nestrukturirano,5,grafana,0.31
1,nestrukturirano,5,elasticsearch,3.10
1,nestrukturirano,5,kibana,7.63
1,nestrukturirano,5,logstash,11.73
1,nestrukturirano,5,alertmanager,0.24
1,nestrukturirano,6,prometheus,1.28
1,nestrukturirano,6,node-exporter,0.00
1,nestrukturirano,6,cadvisor,7.55
1,nestrukturirano,6,grafana,0.18
1,nestrukturirano,6,elasticsearch,0.93
1,nestrukturirano,6,kibana,8.49
1,nestrukturirano,6,logstash,5.16
1,nestrukturirano,6,alertmanager,0.19
1,nestrukturirano,7,prometheus,0.25
1,nestrukturirano,7,node-exporter,0.00
1,nestrukturirano,7,cadvisor,3.65
1,nestrukturirano,7,grafana,0.15
1,nestrukturirano,7,elasticsearch,1.82
1,nestrukturirano,7,kibana,7.46
1,nestrukturirano,7,logstash,6.30
1,nestrukturirano,7,alertmanager,0.56
1,nestrukturirano,8,prometheus,0.22
1,nestrukturirano,8,node-exporter,0.00
1,nestrukturirano,8,cadvisor,1.73
1,nestrukturirano,8,grafana,0.16
1,nestrukturirano,8,elasticsearch,1.55
1,nestrukturirano,8,kibana,7.34
1,nestrukturirano,8,logstash,4.41
1,nestrukturirano,8,alertmanager,0.23
1,nestrukturirano,9,prometheus,2.33
1,nestrukturirano,9,node-exporter,0.00
1,nestrukturirano,9,cadvisor,4.95
1,nestrukturirano,9,grafana,0.20
1,nestrukturirano,9,elasticsearch,1.87
1,nestrukturirano,9,kibana,7.70
1,nestrukturirano,9,logstash,47.61
1,nestrukturirano,9,alertmanager,0.38
1,nestrukturirano,10,prometheus,0.25
1,nestrukturirano,10,node-exporter,0.00
1,nestrukturirano,10,cadvisor,4.54
1,nestrukturirano,10,grafana,0.17
1,nestrukturirano,10,elasticsearch,2.94
1,nestrukturirano,10,kibana,8.86
1,nestrukturirano,10,logstash,7.51
1,nestrukturirano,10,alertmanager,0.42
2,nestrukturirano,1,prometheus,3.72
2,nestrukturirano,1,node-exporter,0.00
2,nestrukturirano,1,cadvisor,4.21
2,nestrukturirano,1,grafana,0.21
2,nestrukturirano,1,elasticsearch,4.84
2,nestrukturirano,1,kibana,9.98
2,nestrukturirano,1,logstash,7.76
2,nestrukturirano,1,alertmanager,0.37
2,nestrukturirano,2,prometheus,0.12
2,nestrukturirano,2,node-exporter,0.00
2,nestrukturirano,2,cadvisor,2.23
2,nestrukturirano,2,grafana,0.24
2,nestrukturirano,2,elasticsearch,2.18
2,nestrukturirano,2,kibana,8.36
2,nestrukturirano,2,logstash,35.15
2,nestrukturirano,2,alertmanager,0.21
2,nestrukturirano,3,prometheus,0.46
2,nestrukturirano,3,node-exporter,0.00
2,nestrukturirano,3,cadvisor,3.46
2,nestrukturirano,3,grafana,0.08
2,nestrukturirano,3,elasticsearch,2.50
2,nestrukturirano,3,kibana,10.54
2,nestrukturirano,3,logstash,20.35
2,nestrukturirano,3,alertmanager,0.19
2,nestrukturirano,4,prometheus,1.85
2,nestrukturirano,4,node-exporter,0.00
2,nestrukturirano,4,cadvisor,2.29
2,nestrukturirano,4,grafana,0.23
2,nestrukturirano,4,elasticsearch,2.68
2,nestrukturirano,4,kibana,9.69
2,nestrukturirano,4,logstash,31.87
2,nestrukturirano,4,alertmanager,0.27
2,nestrukturirano,5,prometheus,0.63
2,nestrukturirano,5,node-exporter,0.00
2,nestrukturirano,5,cadvisor,3.85
2,nestrukturirano,5,grafana,0.26
2,nestrukturirano,5,elasticsearch,3.61
2,nestrukturirano,5,kibana,10.72
2,nestrukturirano,5,logstash,5.49
2,nestrukturirano,5,alertmanager,0.62
2,nestrukturirano,6,prometheus,0.03
2,nestrukturirano,6,node-exporter,0.00
2,nestrukturirano,6,cadvisor,3.61
2,nestrukturirano,6,grafana,0.05
2,nestrukturirano,6,elasticsearch,3.15
2,nestrukturirano,6,kibana,10.60
2,nestrukturirano,6,logstash,125.56
2,nestrukturirano,6,alertmanager,0.20
2,nestrukturirano,7,prometheus,0.00
2,nestrukturirano,7,node-exporter,0.00
2,nestrukturirano,7,cadvisor,4.01
2,nestrukturirano,7,grafana,0.20
2,nestrukturirano,7,elasticsearch,3.32
2,nestrukturirano,7,kibana,13.02
